Ano de Formação,Cargo,empresa,Area,Area Tratados 
2012,Diretor de negócios,The Great Schools Platform,Gestão,Gestão
2012,Professora ,Sesi,Ensino,Ensino
2012,Data Analyst,United Nations,Análise de Dados,Análise de Dados
2012,Chefe de Soluções de Produtos e Operações,TikTok,Gestão,Gestão
2012,"
Senior Software Engineer",Vinta Software,Análise de Dados,Análise de Dados
2013,"
Gerente Sênior de Remuneração de RH (VP) ",Pátria Investimentos,Análise de Dados,Análise de Dados
2013,Lider de produto / B2B,Toro investimentos,Análise de Dados,Análise de Dados
2013,"
Engenheiro de Segurança de Processos",Petrobas,Engenharia,Engenharia
2013,Especialista de novos negocios,Ipiranga,Análise de Dados,Análise de Dados
2013,"
Gerente de CRM e Suporte","
Vendah - ia de whatssap (chat bot)",Gestão,Gestão
2013,chefe de Engenharia ,monks (Marketing),Marketing,Marketing
2013,Analista de Precificação e Risco de Mercado Sênior,"
LUZ Soluções Financeiras",Análise de Dados,Análise de Dados
2013,"
Software Engineer e fundador boomerang",musa ,Empreendedorismo,Empreendedorismo
2013,associada,patria investimentos,Análise de Dados,Análise de Dados
2013,"
Engenheiro Elétrico da Equipe

",Laboratório Nacional de Brookhaven,Pesquisa,Pesquisa
2013,"Professor de Robótica, programação e eletrônica.",yadaa,Ensino,Ensino
2013,"
Analista de inteligência de mercado Sênior
",Scanntech Brasil ,Análise de Dados,Análise de Dados
2013,"Portfólio e Ofertas Internacionais para Coleções | Gerente Sênior
",nubank,Análise de Dados,Análise de Dados
2014,fundadora ,a padoca e boa influência (Marketing),Empreendedorismo,Empreendedorismo
2014,Riscos de Mercado e Liquidez,Banco Pine,Análise de Dados,Análise de Dados
2014,Analista de Planejamento de Materiais,Tecumseh do Brasil,Análise de Dados,Análise de Dados
2014,Pesquisador,"Faculdade de Filosofia, Letras e Ciências Humanas da Universidade de São Paulo (FFLCH USP) Tempo integral",Pesquisa,Pesquisa
2014,"
Senior Business Analyst",Nubank,Análise de Dados,Análise de Dados
2014,Senior Scientist (HI&I) - Applied Research,Elementis Global,Pesquisa,Pesquisa
2015,Gerente Sênior de Produtos de Crescimento,Nomad,Análise de Dados,Análise de Dados
2015,Engenheiro de Projetos e Design,(CNPEM),Pesquisa,Pesquisa
2015,doutorando em Matemática ,ufscar,Carreira acadêmica,Carreira acadêmica
2015,Analista de Desenvolvimento Tecnológico Pleno,(CNPEM),Pesquisa,Pesquisa
2015,Diretor Associado,Media. Monks,Gestão,Gestão
2015,Oferta de produtos,Alice - plano de saude,Análise de Dados,Análise de Dados
2015,Coordenador Técnico Júnior de Contas,RTB House - Marketing,Análise de Dados,Análise de Dados
2015,Coordenadora de Originação de negócios de energia e renováveis,Raízen,Gestão,Gestão
2015,Suporte técnico acadêmico II,"UNESP - Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Carreira acadêmica,Carreira acadêmica
2015,"
Gerente de vendas comercial
",Körber Technologies,Análise de Dados,Análise de Dados
2015,Analista Sênior de Planejamento de Demanda,Cargill,Análise de Dados,Análise de Dados
2015,"Engenheira de softwareEngenheira de software
",McKinsey & Company,Análise de Dados,Análise de Dados
